year,company,model,fuel,km,price(L)
2004,Maruti Suzuki,Esteem,Petrol,84000,1.6
2004,Maruti Suzuki,Esteem,Petrol,100000,2.55
2004,Maruti Suzuki,Esteem,Petrol,55442,0.5
2004,Maruti Suzuki,Esteem,Petrol,106000,1.5
2004,Maruti Suzuki,Esteem,Petrol,88000,1.2
2004,Maruti Suzuki,Gypsy,Petrol,84000,4.5
2004,Maruti Suzuki,Versa,Petrol,98000,0.75
2004,Maruti Suzuki,Zen,Petrol,70000,0.5
2004,Maruti Suzuki,Zen,Petrol,78527,1.2
2004,Maruti Suzuki,Zen,Petrol,100000,0.5
2004,Maruti Suzuki,Zen,Petrol,110000,0.55
2004,Maruti Suzuki,Zen,Petrol,100000,0.75
2004,Maruti Suzuki,Zen,Petrol,35000,0.8
2004,Maruti Suzuki,Zen,Petrol,100000,0.95
2004,Maruti Suzuki,Zen,Petrol,65000,0.6
2004,Maruti Suzuki,Zen,Petrol,114400,1
2004,Maruti Suzuki,Zen,Petrol,110000,1.8
